,label,area,centroid-0,centroid-1,centroid-2,axis_major_length,doughnut_area,GFP_intensity_sum
0,1,999.0,3.6246246246246248,4.4774774774774775,100.6076076076076,18.778415254588914,482.0,2001296
1,2,377.0,1.5862068965517242,27.111405835543767,320.57029177718834,13.302675133483723,278.0,298371
2,3,530.0,0.5,40.39433962264151,255.87169811320754,35.8569405888081,360.0,387451
3,4,479.0,1.4801670146137786,55.47599164926931,285.28601252609604,14.488514209571443,213.0,3195905
4,5,2759.0,2.7520840884378397,70.78579195360638,346.93475897064155,28.046233034475694,1065.0,717264
5,6,2303.0,6.346938775510204,61.4020842379505,280.7455492835432,29.235891425861343,1029.0,6013020
6,7,513.0,0.9454191033138402,108.5692007797271,261.9142300194932,19.369152438379558,294.0,356492
7,8,517.0,0.7040618955512572,160.13346228239845,182.1586073500967,24.645888670128862,290.0,662664
8,9,239.0,2.937238493723849,168.02092050209205,168.36820083682008,20.82569662508446,372.0,871780
9,10,378.0,2.431216931216931,163.55291005291005,175.97883597883597,25.20155437013542,251.0,491977
10,11,173.0,0.791907514450867,176.36994219653178,176.90173410404626,13.146686397403037,163.0,258191
11,12,857.0,2.819136522753792,189.56126021003502,113.27887981330221,16.263144467029843,554.0,4605141
12,13,186.0,0.34408602150537637,205.8709677419355,60.854838709677416,23.253260654761085,182.0,1618713
13,14,634.0,2.7539432176656153,199.47791798107255,191.1876971608833,18.543709434719222,393.0,5367860
14,15,427.0,0.7306791569086651,216.9953161592506,400.07962529274005,20.423264814533873,289.0,151826
15,16,553.0,0.8571428571428571,242.58047016274864,381.28209764918626,20.737199426108273,310.0,301045
16,17,91.0,0.4175824175824176,240.5054945054945,152.62637362637363,12.911269742945283,80.0,685788
17,18,193.0,0.30569948186528495,249.90673575129534,151.59067357512953,19.733241185079258,126.0,997159
18,19,57.0,0.08771929824561403,263.3333333333333,148.96491228070175,14.858378853286098,85.0,1172989
19,20,715.0,1.06993006993007,269.5846153846154,187.1006993006993,23.3124816945067,385.0,175666
20,21,73.0,0.6301369863013698,274.56164383561645,68.76712328767124,14.261529946528894,137.0,294790
21,22,705.0,1.326241134751773,277.3787234042553,411.1460992907801,20.733436507776418,385.0,375852
22,23,86.0,1.430232558139535,294.4651162790698,97.3953488372093,9.486219501364639,164.0,650192
23,24,847.0,1.5962219598583236,304.4238488783943,222.9445100354191,20.429459154413273,457.0,438919
24,25,360.0,0.5138888888888888,309.2083333333333,183.61111111111111,25.821500464250576,210.0,153514
25,26,770.0,3.5805194805194804,309.06493506493507,470.5883116883117,13.52826048740429,570.0,4658410
26,27,618.0,0.5938511326860841,323.3349514563107,106.91100323624596,31.105686248442712,336.0,602269
27,28,711.0,0.849507735583685,335.59493670886076,317.55977496483825,21.791766220115008,344.0,300079
28,29,620.0,1.3596774193548387,353.9161290322581,426.81935483870967,20.822037567159494,372.0,347207
29,30,652.0,1.7914110429447854,355.8312883435583,242.19478527607362,21.795189940235847,416.0,221222
30,31,425.0,3.2423529411764704,352.5764705882353,391.3623529411765,16.58695029781953,373.0,7415266
31,32,62.0,0.4838709677419355,366.758064516129,73.75806451612904,9.02073183477599,95.0,302272
32,33,129.0,0.9689922480620154,383.4186046511628,188.06201550387595,11.06020266608522,110.0,356618
33,34,563.0,0.9236234458259325,392.7015985790409,173.10834813499113,28.042617112860086,304.0,863466
