query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_19,ENSMUSG00000041607,ENSMUSG00000041607,NA,I5,100,52,52,0,0,0,52,100,1,52,52,100,100,32384,32435,50767,4.59e-21,103,52,NA
id_19,ENSMUST00000152071,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,12,63,2046,4.59e-21,103,52,protein_coding
id_19,ENSMUST00000047865,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,559,610,2492,4.59e-21,103,52,protein_coding
id_19,ENSMUST00000091789,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,575,626,4797,4.59e-21,103,52,protein_coding
id_19,ENSMUST00000142850,ENSMUSG00000041607,Mbp,NA,100,24,24,0,0,0,24,100,29,52,52,46,46,1,24,2056,2.35e-4,48.1,24,protein_coding
id_19,ENSMUSG00000009734,ENSMUSG00000009734,NA,I11,95.833,23,24,1,0,0,23,95.83,6,29,52,46,46,92402,92379,138639,0.057,40.1,20,NA
id_19,ENSMUST00000080658,ENSMUSG00000041607,Mbp,NA,100,20,20,0,0,0,20,100,33,52,52,38,38,1,20,1993,0.057,40.1,20,protein_coding
id_19,ENSMUSG00000087407,ENSMUSG00000087407,NA,I1,100,19,19,0,0,0,19,100,24,42,52,37,37,6604,6622,13383,0.23,38.2,19,NA
id_20,ENSMUSG00000041607,ENSMUSG00000041607,NA,I5,100,52,52,0,0,0,52,100,1,52,52,100,100,32385,32436,50767,4.59e-21,103,52,NA
id_20,ENSMUST00000152071,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,13,64,2046,4.59e-21,103,52,protein_coding
id_20,ENSMUST00000047865,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,560,611,2492,4.59e-21,103,52,protein_coding
id_20,ENSMUST00000091789,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,576,627,4797,4.59e-21,103,52,protein_coding
id_20,ENSMUST00000142850,ENSMUSG00000041607,Mbp,NA,100,25,25,0,0,0,25,100,28,52,52,48,48,1,25,2056,5.94e-5,50.1,25,protein_coding
id_20,ENSMUST00000080658,ENSMUSG00000041607,Mbp,NA,100,21,21,0,0,0,21,100,32,52,52,40,40,1,21,1993,0.014,42.1,21,protein_coding
id_20,ENSMUSG00000009734,ENSMUSG00000009734,NA,I11,95.833,23,24,1,0,0,23,95.83,5,28,52,46,46,92402,92379,138639,0.057,40.1,20,NA
id_20,ENSMUSG00000087407,ENSMUSG00000087407,NA,I1,100,19,19,0,0,0,19,100,23,41,52,37,37,6604,6622,13383,0.23,38.2,19,NA
id_20,ENSMUST00000133193,ENSMUSG00000041607,Mbp,NA,100,18,18,0,0,0,18,100,35,52,52,35,35,1,18,1922,0.89,36.2,18,protein_coding
id_21,ENSMUSG00000041607,ENSMUSG00000041607,NA,I5,100,52,52,0,0,0,52,100,1,52,52,100,100,32386,32437,50767,4.59e-21,103,52,NA
id_21,ENSMUST00000152071,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,14,65,2046,4.59e-21,103,52,protein_coding
id_21,ENSMUST00000047865,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,561,612,2492,4.59e-21,103,52,protein_coding
id_21,ENSMUST00000091789,ENSMUSG00000041607,Mbp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,577,628,4797,4.59e-21,103,52,protein_coding
