query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_3,ENSG00000138835,ENSG00000138835,NA,I5,100,19,19,0,0,0,19,100,25,43,52,37,37,5894,5876,15689,0.44,38.2,19,NA
id_3,ENSG00000138835,ENSG00000138835,NA,I4,100,19,19,0,0,0,19,100,25,43,52,37,37,7574,7556,17369,0.44,38.2,19,NA
id_3,ENSG00000113580,ENSG00000113580,NA,I11,95.652,22,23,1,0,0,22,95.65,22,44,52,44,44,34626,34604,85567,0.44,38.2,19,NA
id_3,ENSG00000113580,ENSG00000113580,NA,I10,95.652,22,23,1,0,0,22,95.65,22,44,52,44,44,24848,24826,75789,0.44,38.2,19,NA
id_3,ENSG00000241973,ENSG00000241973,NA,I28,95.455,21,22,1,0,0,21,95.45,25,46,52,42,42,1796,1775,7754,1.7,36.2,18,NA
id_3,ENSG00000267098,ENSG00000267098,NA,I2,100,18,18,0,0,0,18,100,19,36,52,35,35,15199,15216,19995,1.7,36.2,18,NA
id_3,ENSG00000267382,ENSG00000267382,NA,I9,100,18,18,0,0,0,18,100,19,36,52,35,35,4830,4813,11239,1.7,36.2,18,NA
id_3,ENSG00000104177,ENSG00000104177,NA,I2,100,18,18,0,0,0,18,100,26,43,52,35,35,1703,1720,6040,1.7,36.2,18,NA
id_3,ENSG00000052126,ENSG00000052126,NA,I6,100,18,18,0,0,0,18,100,26,43,52,35,35,2523,2506,121569,1.7,36.2,18,NA
id_3,ENSG00000052126,ENSG00000052126,NA,I5,100,18,18,0,0,0,18,100,26,43,52,35,35,2523,2506,74895,1.7,36.2,18,NA
id_3,ENSG00000052126,ENSG00000052126,NA,I4,100,18,18,0,0,0,18,100,26,43,52,35,35,2523,2506,67954,1.7,36.2,18,NA
