query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_1,ENSMUST00000174193,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1,52,2609,4.59e-21,103,52,protein_coding
id_1,ENSMUST00000093773,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1,52,3286,4.59e-21,103,52,protein_coding
id_1,ENSMUST00000111627,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1,52,481,4.59e-21,103,52,protein_coding
id_1,ENSMUST00000215512,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,26,77,498,4.59e-21,103,52,protein_coding
id_1,ENSMUST00000068698,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,36,87,1536,4.59e-21,103,52,protein_coding
id_1,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,36,36,0,0,0,36,100,17,52,52,69,69,1,36,18083,1.62e-11,71.9,36,NA
id_1,ENSMUSG00000032517,ENSMUSG00000032517,NA,I1,100,36,36,0,0,0,36,100,17,52,52,69,69,1,36,4969,1.62e-11,71.9,36,NA
id_1,ENSMUSG00000016624,ENSMUSG00000016624,NA,I9,95.455,21,22,1,0,0,21,95.45,18,39,52,42,42,917,938,2268,0.89,36.2,18,NA
id_2,ENSMUST00000174193,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,2,53,2609,4.59e-21,103,52,protein_coding
id_2,ENSMUST00000093773,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,2,53,3286,4.59e-21,103,52,protein_coding
id_2,ENSMUST00000111627,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,2,53,481,4.59e-21,103,52,protein_coding
id_2,ENSMUST00000215512,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,27,78,498,4.59e-21,103,52,protein_coding
id_2,ENSMUST00000068698,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,37,88,1536,4.59e-21,103,52,protein_coding
id_2,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,37,37,0,0,0,37,100,16,52,52,71,71,1,37,18083,4.1e-12,73.8,37,NA
id_2,ENSMUSG00000032517,ENSMUSG00000032517,NA,I1,100,37,37,0,0,0,37,100,16,52,52,71,71,1,37,4969,4.1e-12,73.8,37,NA
id_2,ENSMUSG00000016624,ENSMUSG00000016624,NA,I9,95.455,21,22,1,0,0,21,95.45,17,38,52,42,42,917,938,2268,0.89,36.2,18,NA
id_3,ENSMUST00000174193,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,3,54,2609,4.59e-21,103,52,protein_coding
id_3,ENSMUST00000093773,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,3,54,3286,4.59e-21,103,52,protein_coding
id_3,ENSMUST00000111627,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,3,54,481,4.59e-21,103,52,protein_coding
id_3,ENSMUST00000215512,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,28,79,498,4.59e-21,103,52,protein_coding
id_3,ENSMUST00000068698,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,38,89,1536,4.59e-21,103,52,protein_coding
id_3,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,38,38,0,0,0,38,100,15,52,52,73,73,1,38,18083,1.04e-12,75.8,38,NA
id_3,ENSMUSG00000032517,ENSMUSG00000032517,NA,I1,100,38,38,0,0,0,38,100,15,52,52,73,73,1,38,4969,1.04e-12,75.8,38,NA
id_3,ENSMUSG00000016624,ENSMUSG00000016624,NA,I9,95.455,21,22,1,0,0,21,95.45,16,37,52,42,42,917,938,2268,0.89,36.2,18,NA
id_4,ENSMUST00000174193,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,4,55,2609,4.59e-21,103,52,protein_coding
id_4,ENSMUST00000093773,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,4,55,3286,4.59e-21,103,52,protein_coding
id_4,ENSMUST00000111627,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,4,55,481,4.59e-21,103,52,protein_coding
id_4,ENSMUST00000215512,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,29,80,498,4.59e-21,103,52,protein_coding
id_4,ENSMUST00000068698,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,39,90,1536,4.59e-21,103,52,protein_coding
id_4,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,39,39,0,0,0,39,100,14,52,52,75,75,1,39,18083,2.63e-13,77.8,39,NA
id_4,ENSMUSG00000032517,ENSMUSG00000032517,NA,I1,100,39,39,0,0,0,39,100,14,52,52,75,75,1,39,4969,2.63e-13,77.8,39,NA
id_4,ENSMUSG00000016624,ENSMUSG00000016624,NA,I9,95.455,21,22,1,0,0,21,95.45,15,36,52,42,42,917,938,2268,0.89,36.2,18,NA
id_5,ENSMUST00000174193,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,5,56,2609,4.59e-21,103,52,protein_coding
id_5,ENSMUST00000093773,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,5,56,3286,4.59e-21,103,52,protein_coding
id_5,ENSMUST00000111627,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,5,56,481,4.59e-21,103,52,protein_coding
id_5,ENSMUST00000215512,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,30,81,498,4.59e-21,103,52,protein_coding
id_5,ENSMUST00000068698,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,40,91,1536,4.59e-21,103,52,protein_coding
id_5,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,40,40,0,0,0,40,100,13,52,52,77,77,1,40,18083,6.65e-14,79.8,40,NA
id_5,ENSMUSG00000032517,ENSMUSG00000032517,NA,I1,100,40,40,0,0,0,40,100,13,52,52,77,77,1,40,4969,6.65e-14,79.8,40,NA
id_5,ENSMUSG00000016624,ENSMUSG00000016624,NA,I9,95.455,21,22,1,0,0,21,95.45,14,35,52,42,42,917,938,2268,0.89,36.2,18,NA
id_58,ENSMUSG00000032517,ENSMUSG00000032517,NA,I2,100,52,52,0,0,0,52,100,1,52,52,100,100,4930,4981,18083,4.59e-21,103,52,NA
id_58,ENSMUST00000214943,ENSMUSG00000032517,Mobp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,84,135,435,4.59e-21,103,52,protein_coding
